pos val
0 1.46054e-05
0.000234393 1.46053e-05
0.000468786 1.46052e-05
0.000703179 1.46051e-05
0.000937572 1.4605e-05
0.00117197 1.46047e-05
0.00140636 1.46045e-05
0.00164075 1.46042e-05
0.00187514 1.4604e-05
0.00210954 1.46035e-05
0.00234393 1.46031e-05
0.00257832 1.46026e-05
0.00281272 1.46022e-05
0.00304711 1.46016e-05
0.0032815 1.4601e-05
0.0035159 1.46004e-05
0.00375029 1.45998e-05
0.00398468 1.4599e-05
0.00421908 1.45982e-05
0.00445347 1.45974e-05
0.00468786 1.45966e-05
0.00492226 1.45956e-05
0.00515665 1.45947e-05
0.00539104 1.45937e-05
0.00562543 1.45928e-05
0.00585983 1.45916e-05
0.00609422 1.45905e-05
0.00632861 1.45893e-05
0.00656301 1.45882e-05
0.0067974 1.45869e-05
0.00703179 1.45856e-05
0.00726619 1.45843e-05
0.00750058 1.4583e-05
0.00773497 1.45815e-05
0.00796937 1.458e-05
0.00820376 1.45786e-05
0.00843815 1.45771e-05
0.00867255 1.45754e-05
0.00890694 1.45737e-05
0.00914133 1.45721e-05
0.00937572 1.45704e-05
0.00961012 1.45686e-05
0.00984451 1.45667e-05
0.0100789 1.45649e-05
0.0103133 1.45631e-05
0.0105477 1.45611e-05
0.0107821 1.45591e-05
0.0110165 1.45571e-05
0.0112509 1.45551e-05
0.0114853 1.45529e-05
0.0117197 1.45507e-05
0.011954 1.45486e-05
0.0121884 1.45464e-05
0.0124228 1.4544e-05
0.0126572 1.45417e-05
0.0128916 1.45393e-05
0.013126 1.4537e-05
0.0133604 1.45345e-05
0.0135948 1.45319e-05
0.0138292 1.45294e-05
0.0140636 1.45269e-05
0.014298 1.45242e-05
0.0145324 1.45215e-05
0.0147668 1.45188e-05
0.0150012 1.45161e-05
0.0152356 1.45132e-05
0.0154699 1.45104e-05
0.0157043 1.45075e-05
0.0159387 1.45047e-05
0.0161731 1.45017e-05
0.0164075 1.44986e-05
0.0166419 1.44956e-05
0.0168763 1.44926e-05
0.0171107 1.44894e-05
0.0173451 1.44862e-05
0.0175795 1.4483e-05
0.0178139 1.44798e-05
0.0180483 1.44764e-05
0.0182827 1.4473e-05
0.0185171 1.44697e-05
0.0187514 1.44663e-05
0.0189858 1.44628e-05
0.0192202 1.44592e-05
0.0194546 1.44557e-05
0.019689 1.44522e-05
0.0199234 1.44485e-05
0.0201578 1.44448e-05
0.0203922 1.44411e-05
0.0206266 1.44374e-05
0.020861 1.44335e-05
0.0210954 1.44296e-05
0.0213298 1.44258e-05
0.0215642 1.44219e-05
0.0217986 1.44179e-05
0.022033 1.44138e-05
0.0222673 1.44098e-05
0.0225017 1.44058e-05
0.0227361 1.44016e-05
0.0229705 1.43974e-05
0.0232049 1.43932e-05
0.0234393 1.4389e-05
0.0236737 1.43846e-05
0.0239081 1.43802e-05
0.0241425 1.43759e-05
0.0243769 1.43715e-05
0.0246113 1.4367e-05
0.0248457 1.43624e-05
0.0250801 1.43579e-05
0.0253145 1.43534e-05
0.0255489 1.43487e-05
0.0257832 1.4344e-05
