pos val
0.0743026 460.008
0.074537 460.883
0.0747714 461.749
0.0750058 462.615
0.0752402 463.473
0.0754746 464.329
0.075709 465.178
0.0759434 466.026
0.0761778 466.866
0.0764122 467.706
0.0766466 468.537
0.0768809 469.367
0.0771153 470.189
0.0773497 471.011
0.0775841 471.824
0.0778185 472.637
0.0780529 473.442
0.0782873 474.246
0.0785217 475.041
0.0787561 475.836
0.0789905 476.623
0.0792249 477.409
0.0794593 478.187
0.0796937 478.965
0.0799281 479.734
0.0801624 480.502
0.0803968 481.262
0.0806312 482.022
0.0808656 482.774
0.0811 483.525
0.0813344 484.268
0.0815688 485.01
0.0818032 485.744
0.0820376 486.477
0.082272 487.202
0.0825064 487.927
0.0827408 488.643
0.0829752 489.359
0.0832096 490.067
0.083444 490.774
0.0836783 491.472
0.0839127 492.171
0.0841471 492.861
0.0843815 493.551
0.0846159 494.232
0.0848503 494.913
0.0850847 495.585
0.0853191 496.258
0.0855535 496.921
0.0857879 497.585
0.0860223 498.24
0.0862567 498.896
0.0864911 499.542
0.0867255 500.188
0.0869598 500.826
0.0871942 501.464
0.0874286 502.093
0.087663 502.722
0.0878974 503.343
0.0881318 503.964
0.0883662 504.576
0.0886006 505.188
0.088835 505.791
0.0890694 506.394
0.0893038 506.989
0.0895382 507.583
0.0897726 508.17
0.090007 508.756
0.0902414 509.334
0.0904757 509.912
0.0907101 510.482
0.0909445 511.051
0.0911789 511.612
0.0914133 512.173
0.0916477 512.726
0.0918821 513.278
0.0921165 513.822
0.0923509 514.366
0.0925853 514.902
0.0928197 515.437
0.0930541 515.965
0.0932885 516.492
0.0935229 517.011
0.0937572 517.53
0.0939916 518.041
0.094226 518.551
0.0944604 519.054
0.0946948 519.556
0.0949292 520.051
0.0951636 520.545
0.095398 521.03
0.0956324 521.516
0.0958668 521.994
0.0961012 522.472
0.0963356 522.941
0.09657 523.411
0.0968044 523.872
0.0970388 524.334
0.0972731 524.787
0.0975075 525.24
0.0977419 525.685
0.0979763 526.131
0.0982107 526.568
0.0984451 527.005
0.0986795 527.434
0.0989139 527.863
0.0991483 528.284
0.0993827 528.705
0.0996171 529.118
0.0998515 529.53
0.100086 529.936
0.10032 530.341
0.100555 530.738
0.100789 531.135
0.101023 531.525
0.101258 531.914
0.101492 532.296
0.101727 532.677
0.101961 533.051
0.102195 533.424
0.10243 533.79
0.102664 534.156
0.102899 534.515
0.103133 534.873
0.103367 535.224
0.103602 535.574
0.103836 535.917
0.104071 536.259
0.104305 536.594
0.104539 536.929
0.104774 537.257
0.105008 537.585
0.105243 537.905
0.105477 538.225
0.105711 538.537
0.105946 538.849
0.10618 539.154
0.106414 539.459
0.106649 539.756
0.106883 540.054
0.107118 540.344
0.107352 540.634
0.107586 540.917
0.107821 541.2
0.108055 541.475
0.10829 541.749
0.108524 542.017
0.108758 542.285
0.108993 542.546
0.109227 542.807
0.109462 543.061
0.109696 543.314
0.10993 543.561
0.110165 543.807
0.110399 544.046
0.110634 544.285
0.110868 544.517
0.111102 544.749
0.111337 544.974
0.111571 545.199
0.111806 545.417
0.11204 545.635
0.112274 545.846
0.112509 546.056
0.112743 546.26
0.112977 546.464
0.113212 546.661
0.113446 546.858
0.113681 547.048
0.113915 547.239
0.114149 547.422
0.114384 547.605
0.114618 547.781
0.114853 547.958
0.115087 548.128
0.115321 548.298
0.115556 548.461
0.11579 548.624
0.116025 548.78
0.116259 548.935
0.116493 549.085
0.116728 549.235
0.116962 549.378
0.117197 549.521
0.117431 549.658
0.117665 549.794
0.1179 549.924
0.118134 550.054
0.118369 550.178
0.118603 550.302
0.118837 550.419
0.119072 550.536
0.119306 550.647
0.11954 550.758
0.119775 550.863
0.120009 550.967
0.120244 551.065
0.120478 551.163
0.120712 551.255
0.120947 551.347
0.121181 551.433
0.121416 551.519
0.12165 551.598
0.121884 551.678
0.122119 551.751
0.122353 551.825
0.122588 551.892
0.122822 551.959
0.123056 552.02
0.123291 552.082
0.123525 552.137
0.12376 552.193
0.123994 552.242
0.124228 552.291
0.124463 552.335
0.124697 552.378
0.124932 552.416
0.125166 552.453
0.1254 552.485
0.125635 552.517
0.125869 552.543
0.126104 552.569
0.126338 552.59
0.126572 552.61
0.126807 552.625
0.127041 552.64
0.127275 552.649
0.12751 552.658
0.127744 552.662
0.127979 552.665
0.128213 552.663
0.128447 552.661
0.128682 552.653
0.128916 552.646
0.129151 552.633
0.129385 552.62
0.129619 552.601
0.129854 552.583
0.130088 552.559
0.130323 552.535
0.130557 552.506
0.130791 552.477
0.131026 552.443
0.13126 552.409
0.131495 552.369
0.131729 552.328
0.131963 552.284
0.132198 552.239
0.132432 552.189
0.132667 552.139
0.132901 552.084
0.133135 552.029
0.13337 551.969
0.133604 551.909
0.133838 551.844
0.134073 551.779
0.134307 551.709
0.134542 551.639
0.134776 551.564
0.13501 551.489
0.135245 551.41
0.135479 551.33
0.135714 551.245
0.135948 551.16
0.136182 551.071
0.136417 550.982
0.136651 550.887
0.136886 550.793
0.13712 550.694
0.137354 550.596
0.137589 550.492
0.137823 550.389
0.138058 550.281
0.138292 550.173
0.138526 550.06
0.138761 549.948
0.138995 549.83
0.13923 549.713
0.139464 549.591
0.139698 549.469
0.139933 549.343
0.140167 549.217
0.140401 549.087
0.140636 548.956
0.14087 548.822
0.141105 548.687
0.141339 548.548
0.141573 548.409
0.141808 548.266
0.142042 548.122
0.142277 547.975
0.142511 547.827
0.142745 547.676
0.14298 547.524
0.143214 547.368
0.143449 547.212
0.143683 547.053
0.143917 546.893
0.144152 546.729
0.144386 546.565
0.144621 546.397
0.144855 546.229
0.145089 546.057
0.145324 545.885
0.145558 545.709
0.145793 545.534
0.146027 545.354
0.146261 545.175
0.146496 544.991
0.14673 544.808
0.146964 544.621
0.147199 544.434
0.147433 544.243
0.147668 544.052
0.147902 543.857
0.148136 543.661
0.148371 543.463
0.148605 543.265
0.14884 543.063
0.149074 542.861
0.149308 542.656
0.149543 542.45
0.149777 542.241
0.150012 542.032
0.150246 541.82
0.15048 541.608
0.150715 541.392
0.150949 541.176
0.151184 540.957
0.151418 540.737
0.151652 540.515
0.151887 540.292
0.152121 540.066
0.152356 539.84
0.15259 539.611
0.152824 539.382
0.153059 539.149
0.153293 538.917
0.153527 538.681
0.153762 538.445
0.153996 538.206
0.154231 537.968
0.154465 537.726
0.154699 537.484
0.154934 537.239
0.155168 536.994
0.155403 536.746
0.155637 536.498
0.155871 536.247
0.156106 535.996
0.15634 535.741
0.156575 535.487
0.156809 535.23
0.157043 534.974
0.157278 534.714
0.157512 534.453
0.157747 534.191
0.157981 533.928
0.158215 533.663
0.15845 533.397
0.158684 533.129
0.158919 532.86
0.159153 532.589
0.159387 532.318
0.159622 532.045
0.159856 531.771
0.160091 531.495
0.160325 531.218
0.160559 530.94
0.160794 530.661
0.161028 530.38
0.161262 530.098
0.161497 529.814
0.161731 529.53
0.161966 529.244
0.1622 528.957
0.162434 528.668
0.162669 528.379
0.162903 528.087
0.163138 527.796
0.163372 527.502
0.163606 527.208
0.163841 526.912
0.164075 526.616
0.16431 526.317
0.164544 526.019
0.164778 525.718
0.165013 525.417
0.165247 525.114
0.165482 524.811
0.165716 524.505
0.16595 524.2
0.166185 523.892
0.166419 523.585
0.166654 523.275
0.166888 522.966
0.167122 522.654
0.167357 522.343
0.167591 522.029
0.167825 521.714
0.16806 521.399
0.168294 521.083
0.168529 520.765
0.168763 520.447
0.168997 520.127
0.169232 519.807
0.169466 519.486
0.169701 519.164
0.169935 518.84
0.170169 518.516
0.170404 518.191
0.170638 517.865
0.170873 517.538
0.171107 517.21
0.171341 516.881
0.171576 516.552
0.17181 516.221
0.172045 515.89
0.172279 515.557
0.172513 515.224
0.172748 514.89
0.172982 514.555
0.173217 514.219
0.173451 513.883
0.173685 513.545
0.17392 513.208
0.174154 512.868
0.174388 512.529
0.174623 512.188
0.174857 511.847
0.175092 511.504
0.175326 511.161
0.17556 510.817
0.175795 510.473
0.176029 510.127
0.176264 509.782
0.176498 509.435
0.176732 509.088
0.176967 508.739
0.177201 508.39
0.177436 508.04
0.17767 507.69
0.177904 507.339
0.178139 506.988
0.178373 506.635
0.178608 506.282
0.178842 505.928
0.179076 505.574
0.179311 505.219
0.179545 504.864
0.17978 504.507
0.180014 504.149
0.180248 503.792
0.180483 503.434
0.180717 503.075
0.180951 502.715
0.181186 502.355
0.18142 501.995
0.181655 501.634
0.181889 501.272
0.182123 500.91
0.182358 500.547
0.182592 500.183
0.182827 499.819
0.183061 499.455
0.183295 499.09
0.18353 498.724
0.183764 498.358
0.183999 497.991
0.184233 497.624
0.184467 497.257
0.184702 496.889
0.184936 496.52
0.185171 496.151
0.185405 495.781
0.185639 495.411
0.185874 495.041
0.186108 494.67
0.186343 494.299
0.186577 493.927
0.186811 493.555
0.187046 493.182
0.18728 492.809
0.187514 492.435
0.187749 492.06
0.187983 491.686
0.188218 491.311
